transcript_identifier,gene_id,gene_symbol,pathway_id,annotation_version
Cre02.g092900.t1.2,Cre02.g092900,,Creinhardtii PWY-7221,v5.5
Cre02.g092900.t1.2,Cre02.g092900,,Creinhardtii PWY-7228,v5.5
Cre02.g092900.t1.2,Cre02.g092900,,Creinhardtii PWY-841,v5.5
Cre02.g093450.t1.2,Cre02.g093450,FBA2,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre02.g093450.t1.2,Cre02.g093450,FBA2,Creinhardtii CALVIN-PWY,v5.5
Cre02.g093450.t1.2,Cre02.g093450,FBA2,Creinhardtii GLUCONEO-PWY,v5.5
Cre02.g093450.t1.2,Cre02.g093450,FBA2,Creinhardtii PWY-1042,v5.5
Cre02.g093450.t1.2,Cre02.g093450,FBA2,Creinhardtii PWY-5464,v5.5
Cre02.g093450.t1.2,Cre02.g093450,FBA2,Creinhardtii PWY66-399,v5.5
Cre02.g093450.t1.2,Cre02.g093450,FBA2,Creinhardtii SUCSYN-PWY,v5.5
Cre02.g094900.t1.1,Cre02.g094900,,Creinhardtii PWY-7437,v5.5
Cre02.g095089.t1.1,Cre02.g095089,,Creinhardtii PWY-6545,v5.5
Cre02.g095089.t1.1,Cre02.g095089,,Creinhardtii PWY-7184,v5.5
Cre02.g095089.t1.1,Cre02.g095089,,Creinhardtii PWY-7206,v5.5
Cre02.g095089.t1.1,Cre02.g095089,,Creinhardtii PWY-7206,v5.5
Cre02.g095089.t1.1,Cre02.g095089,,Creinhardtii PWY-7211,v5.5
Cre02.g095092.t1.1,Cre02.g095092,,Creinhardtii PWY-6287,v5.5
Cre02.g095092.t1.1,Cre02.g095092,,Creinhardtii PWY-6287,v5.5
Cre02.g095092.t1.1,Cre02.g095092,,Creinhardtii PWY-6475,v5.5
Cre02.g095092.t1.1,Cre02.g095092,,Creinhardtii PWY-6475,v5.5
Cre02.g095126.t1.1,Cre02.g095126,,Creinhardtii PWY-6724,v5.5
Cre02.g095126.t1.1,Cre02.g095126,,Creinhardtii PWY-7238,v5.5
Cre02.g095134.t1.1,Cre02.g095134,,Creinhardtii PWY-6842,v5.5
Cre02.g096150.t1.2,Cre02.g096150,MSD1,Creinhardtii DETOX1-PWY,v5.5
Cre02.g096150.t1.2,Cre02.g096150,MSD1,Creinhardtii DETOX1-PWY-1,v5.5
Cre02.g096150.t1.2,Cre02.g096150,MSD1,Creinhardtii PWY-6854,v5.5
Cre02.g096900.t1.2,Cre02.g096900,,Creinhardtii PWY-6689,v5.5
Cre02.g097000.t1.2,Cre02.g097000,,Creinhardtii PWY-3982,v5.5
Cre02.g097000.t1.2,Cre02.g097000,,Creinhardtii PWY-6430,v5.5
Cre02.g097450.t1.2,Cre02.g097450,,Creinhardtii PWY-6147,v5.5
Cre02.g097450.t1.2,Cre02.g097450,,Creinhardtii PWY-6612,v5.5
Cre02.g097900.t1.2,Cre02.g097900,,Creinhardtii ASPARTATE-DEG1-PWY,v5.5
Cre02.g097900.t1.2,Cre02.g097900,,Creinhardtii ASPARTATESYN-PWY,v5.5
Cre02.g097900.t1.2,Cre02.g097900,,Creinhardtii PWY-3001,v5.5
Cre02.g097900.t1.2,Cre02.g097900,,Creinhardtii PWY-7115,v5.5
Cre02.g097900.t1.2,Cre02.g097900,,Creinhardtii PWY-7115,v5.5
Cre02.g097900.t1.2,Cre02.g097900,,Creinhardtii PWY-7117,v5.5
Cre02.g097900.t1.2,Cre02.g097900,,Creinhardtii PWY-7117,v5.5
Cre02.g097900.t1.2,Cre02.g097900,,Creinhardtii THRESYN-PWY,v5.5
Cre02.g098050.t1.2,Cre02.g098050,,Creinhardtii PWY-5885,v5.5
Cre02.g098850.t1.1,Cre02.g098850,NTR2,Creinhardtii THIOREDOX-PWY,v5.5
Cre02.g099400.t1.1,Cre02.g099400,,Creinhardtii PWY-5980,v5.5
Cre02.g099850.t1.1,Cre02.g099850,,Creinhardtii PWY-5464,v5.5
Cre02.g099850.t1.1,Cre02.g099850,,Creinhardtii PYRUVDEHYD-PWY,v5.5
Cre02.g100300.t1.1,Cre02.g100300,,Creinhardtii PWY-6351,v5.5
Cre02.g100300.t1.1,Cre02.g100300,,Creinhardtii PWY-6352,v5.5
Cre02.g105150.t1.1,Cre02.g105150,,Creinhardtii POLYAMINSYN3-PWY,v5.5
Cre02.g105150.t1.1,Cre02.g105150,,Creinhardtii PWY-43,v5.5
Cre02.g105500.t1.2,Cre02.g105500,,Creinhardtii ARGSYN-PWY,v5.5
Cre02.g105500.t1.2,Cre02.g105500,,Creinhardtii GLUTORN-PWY,v5.5
Cre02.g106400.t1.1,Cre02.g106400,PDAT1,Creinhardtii PWY-7416,v5.5
Cre02.g106400.t1.1,Cre02.g106400,PDAT1,Creinhardtii TRIGLSYN-PWY,v5.5
Cre02.g107450.t1.2,Cre02.g107450,,Creinhardtii PWY-5340,v5.5
Cre02.g107450.t1.2,Cre02.g107450,,Creinhardtii PWY-6932,v5.5
Cre02.g109550.t1.2,Cre02.g109550,,Creinhardtii HOMOSERSYN-PWY,v5.5
Cre02.g109550.t1.2,Cre02.g109550,,Creinhardtii HOMOSERSYN-PWY,v5.5
Cre02.g109550.t1.2,Cre02.g109550,,Creinhardtii PWY-3001,v5.5
Cre02.g109550.t1.2,Cre02.g109550,,Creinhardtii PWY-3001,v5.5
Cre02.g109550.t1.2,Cre02.g109550,,Creinhardtii PWY-5097,v5.5
Cre02.g109550.t1.2,Cre02.g109550,,Creinhardtii THRESYN-PWY,v5.5
Cre02.g109550.t1.2,Cre02.g109550,,Creinhardtii THRESYN-PWY,v5.5
Cre02.g109600.t1.2,Cre02.g109600,,Creinhardtii PWY-2301,v5.5
Cre02.g109600.t1.2,Cre02.g109600,,Creinhardtii PWY-6358,v5.5
Cre02.g109600.t1.2,Cre02.g109600,,Creinhardtii PWY-6363,v5.5
Cre02.g112150.t1.2,Cre02.g112150,,Creinhardtii PWY-7409,v5.5
Cre02.g112400.t1.1,Cre02.g112400,,Creinhardtii PWY-6902,v5.5
Cre02.g112400.t1.1,Cre02.g112400,,Creinhardtii PWY-6902,v5.5
Cre02.g112400.t1.1,Cre02.g112400,,Creinhardtii PWY-6902,v5.5
Cre02.g113050.t1.2,Cre02.g113050,,Creinhardtii PWY-7409,v5.5
Cre02.g113200.t1.1,Cre02.g113200,GLN1,Creinhardtii GLNSYN-PWY,v5.5
Cre02.g113200.t1.1,Cre02.g113200,GLN1,Creinhardtii PWY-6963,v5.5
Cre02.g113850.t1.1,Cre02.g113850,PBGD2,Creinhardtii PWY-5188,v5.5
Cre02.g114250.t1.2,Cre02.g114250,,Creinhardtii PWY-5837,v5.5
Cre02.g114500.t1.2,Cre02.g114500,,Creinhardtii PWY-3385,v5.5
Cre02.g115650.t1.2,Cre02.g115650,FBA4,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre02.g115650.t1.2,Cre02.g115650,FBA4,Creinhardtii CALVIN-PWY,v5.5
Cre02.g115650.t1.2,Cre02.g115650,FBA4,Creinhardtii GLUCONEO-PWY,v5.5
