gene_id	gene_name	fold_difference	p_value	candidate_gene
Cre06.g288700.t1	GYD1	0.99	0.968	FALSE
Cre06.g253350.t1	GCSH	0.89	0.151	FALSE
Cre06.g295450.t1	HPR1	1.19	0.111	FALSE
Cre-1.g2717040.t1	rbcL	0.63	1.11e-16	FALSE
Cre02.g120100.t1	RBCS1	0.71	2.97e-07	FALSE
Cre02.g120150.t1	RBCS2	0.66	1.18e-11	FALSE
Cre22.g763250.t1	PGK1	1.05	0.594	FALSE
Cre08.g380250.t1	CP12	0.76	2.49e-07	FALSE
Cre01.g010900.t1	GAP3	1.13	0.000327	FALSE
Cre05.g234550.t1	FBA3	1.12	0.00179	FALSE
Cre12.g510650.t1	FBP1	1.01	0.825	FALSE
Cre02.g080200.t1	TRK1	0.78	0.000554	FALSE
Cre03.g185550.t1	SBP1	0.81	0.00492	FALSE
Cre03.g187450.t1	RPI1	1.12	0.157	FALSE
Cre12.g511900.t1	RPE1	0.84	0.0952	FALSE
Cre12.g554800.t1	PRK1	0.89	0.0567	FALSE
Cre04.g229300.t1	RCA1	1.58	0.00542	FALSE
Cre16.g661350.t1	RMT1	2.15	2.56e-05	TRUE
Cre04.g222750.t1	CCP2	1.57	0.645	FALSE
Cre10.g436550.t1	LCI5	0.31	0	TRUE
Cre10.g452800.t1	LCIB	1.01	0.885	FALSE
Cre06.g307500.t1	LCIC	0.89	0.542	FALSE
Cre13.g567950.t1	AGP1	1.16	0.000534	FALSE
Cre03.g188250.t1	AGP4	1.02	0.916	FALSE
Cre06.g282000.t1	SSS3	1.38	0.0318	FALSE
Cre06.g289850.t1	SBE1	1.39	0.0996	FALSE
Cre06.g270100.t1	SBE2	1.07	0.491	FALSE
Cre10.g444700.t1	SBE3	1.01	0.973	FALSE
Cre19.g755050.t1	ISA3	1.03	0.915	FALSE
Cre09.g386650.t1	ANT1	1.02	0.881	FALSE
Cre02.g117500.t1	HXK1	1.25	0.157	FALSE
Cre08.g362450.t1	AMYA2	0.91	0.145	FALSE
Cre07.g336950.t1	PHOA	1.37	3.12e-09	FALSE
Cre12.g552200.t1	STP1	1.02	0.77	FALSE
Cre07.g319300.t1	GWD1	0.56	5.79e-06	FALSE
Cre07.g332300.t1	GWD2	0.73	0.772	FALSE
Cre17.g719900.t1	PWD1	1.28	0.25	FALSE
Cre03.g181500.t1	DPE1	1.08	0.865	FALSE
Cre01.g045550.t1	TPT3	0.76	0.114	FALSE
Cre09.g396700.t1	ACK1	0.52	0.0544	FALSE
Cre17.g709850.t1	ACK2	0.73	0.239	FALSE
Cre17.g699000.t1	PAT1	0.4	0.0154	TRUE
Cre09.g396650.t1	PAT2	0.97	0.472	FALSE
Cre23.g765700.t1	ACS1	0.57	0.0469	FALSE
Cre23.g768500.t1	ACS2	0.53	0.0277	FALSE
Cre07.g353450.t1	ACS3	0.87	0.544	FALSE
Cre16.g662350.t1	TPS2	0.45	0.448	FALSE
Cre03.g180250.t1	IPS1	1.36	0.276	FALSE
Cre02.g085900.t1	IPP1	1.42	0.0982	FALSE
Cre17.g723550.t1	IPP4	0.55	0.226	FALSE
Cre06.g262050.t1	AEP1	1.29	3.35e-05	FALSE
Cre14.g630400.t1	Cre14.g630400	1.11	0.287	FALSE
Cre16.g677450.t1	Cre16.g677450	1.09	0.761	FALSE
Cre16.g696000.t1	Cre16.g696000	1.18	0.486	FALSE
Cre03.g169400.t1	GAD1	0.95	0.718	FALSE
Cre16.g672800.t1	GMP1	0.44	0.126	FALSE
Cre02.g083800.t1	SNE5	0.79	8.71e-05	FALSE
Cre07.g357200.t1	UGD1	1.34	0.129	FALSE
Cre13.g597550.t1	UGD2	1.48	0.00394	FALSE
Cre06.g294450.t1	AKR	0.66	0.0947	FALSE
Cre02.g121550.t1	NED6	1.26	0.142	FALSE
Cre13.g565800.t1	UPT1	0.88	0.154	FALSE
Cre03.g185000.t1	BGS2	1.22	0.682	FALSE
Cre04.g214650.t1	BGS5	1.66	0.0521	FALSE
Cre13.g574900.t1	GTR2	0.27	0.325	FALSE
Cre04.g229700.t1	UGP1	1.18	0.712	FALSE
Cre13.g598750.t1	GPM1	1.58	1.85e-05	FALSE
Cre03.g175400.t1	PGI1	0.93	0.198	FALSE
Cre06.g262900.t1	PFK1	1.08	0.62	FALSE
Cre12.g553250.t1	PFK2	0.82	0.329	FALSE
Cre01.g029300.t1	TPI1	0.9	0.165	FALSE
Cre12.g485150.t1	GAP1a	1.15	0.147	FALSE
Cre01.g006950.t1	FBA1	1.53	1.69e-11	FALSE
Cre06.g272050.t1	PGM1	1.2	0.00315	FALSE
Cre12.g513200.t1	PGH1	1.19	3.8e-06	FALSE
Cre10.g426335.t1	Cre10.g426335	1.67	0.00562	FALSE
Cre06.g280950.t1	PYK2	1.02	0.748	FALSE
Cre03.g171950.t1	PEPC2	0.45	0.254	FALSE
Cre12.g533550.t1	PYK1	0.75	0.0248	FALSE
Cre01.g044800.t1	PFL1	0.71	0.00173	FALSE
Cre03.g165700.t1	PDC3	0.74	0.000471	FALSE
Cre20.g758200.t1	ADH1	1.36	0.00226	FALSE
Cre16.g669100.t1	ADH2	0.52	0.237	FALSE
Cre16.g669150.t1	ADH13	1.64	0.00683	FALSE
Cre12.g543350.t1	FDH2	1.66	7.24e-14	FALSE
Cre12.g500150.t1	ALD5	0.71	0.0635	FALSE
Cre07.g338450.t1	GLPX1	0.64	0.0249	FALSE
Cre03.g149100.t1	CIS2	0.78	0.000652	FALSE
Cre01.g057800.t1	MAS1	0.7	0.00546	FALSE
Cre03.g194850.t1	MDH1	0.79	0.00703	FALSE
Cre10.g423250.t1	MDH2	1.29	0.312	FALSE
Cre12.g483950.t1	MDH4	1.23	0.201	FALSE
Cre02.g141400.t1	PCK1	0.44	9.72e-09	TRUE
Cre15.g644850.t1	PPD2	1.18	0.259	FALSE
Cre06.g282800.t1	ICL1	0.9	0.563	FALSE
Cre01.g034400.t1	PGL1	0.69	6.95e-13	FALSE
Cre08.g370650.t1	pgl2	1.29	0.1	FALSE
