gene_id	gene_name	fold_difference	p_value	candidate_gene
Cre12.g542350.t1	Cre12.g542350	1.51	0.000462	FALSE
Cre13.g589450.t1	Cre13.g589450	1.16	0.215	FALSE
Cre03.g152750.t1	BAG6	1.13	0.587	FALSE
Cre15.g638400.t1	USPA	3.46	7.03e-12	TRUE
Cre02.g137100.t1	Cre02.g137100	0.48	0.605	FALSE
Cre07.g341500.t1	Cre07.g341500	0.53	0.697	FALSE
Cre08.g360400.t1	ERM1	1.1	0.913	FALSE
Cre12.g560050.t1	RVT1	1.01	0.994	FALSE
Cre05.g241800.t1	RVT	0.38	0.368	FALSE
Cre07.g341400.t1	RVT	0.65	0.797	FALSE
Cre01.g017700.t1	RVT	1.22	0.838	FALSE
Cre16.g660550.t1	RVT	1.22	0.838	FALSE
Cre01.g033550.t1	PDI2	1.69	6.67e-06	FALSE
Cre07.g328150.t1	PDI4	2.13	8.48e-09	TRUE
Cre02.g088200.t1	RB60	1.24	2.2e-06	FALSE
Cre09.g391900.t1	TRXh1	1.21	7.25e-05	FALSE
Cre14.g621550.t1	TRXm	1.17	0.00199	FALSE
Cre05.g248500.t1	TRXo	1.13	0.103	FALSE
Cre03.g193950.t1	FRR2	1.88	2.41e-13	FALSE
Cre07.g326600.t1	PDI6	1.75	0.169	FALSE
Cre12.g518200.t1	PDI7	0.46	0.31	FALSE
Cre01.g052250.t1	TRX1	0.77	0.315	FALSE
Cre02.g142800.t1	TRX13	0.98	0.836	FALSE
Cre05.g243050.t1	TRX3	1.89	0.0379	FALSE
Cre12.g554850.t1	TRX7	1	0.998	FALSE
Cre02.g087700.t1	APX1	0.75	0.093	FALSE
Cre02.g139650.t1	APX3	0.75	0.139	FALSE
Cre05.g233900.t1	APX4	0.93	0.0418	FALSE
Cre10.g456750.t1	DAR1	4.35	2.67e-13	TRUE
Cre06.g271200.t1	PNO1	0.71	0.357	FALSE
Cre17.g712100.t1	PNO2	0.95	0.406	FALSE
Cre01.g019250.t1	NED4	1.25	0.0473	FALSE
Cre10.g458450.t1	GPX5	0.98	0.904	FALSE
Cre02.g077100.t1	GSH1	1.26	0.0255	FALSE
Cre06.g262100.t1	GSR1	1.03	0.915	FALSE
Cre02.g132850.t1	GSR2	1.15	0.111	FALSE
Cre16.g688550.t1	GST1	2.17	4.8e-05	TRUE
Cre01.g064400.t1	GST2	1.28	0.208	FALSE
Cre01.g062900.t1	GST3	0.68	0.0118	FALSE
Cre12.g513750.t1	GRX1	0.75	0.0795	FALSE
Cre12.g550400.t1	GRX2	0.53	2.18e-05	FALSE
Cre06.g257601.t1	PRX1	1.16	0.00054	FALSE
Cre02.g114600.t1	PRX2	1.21	2.31e-05	FALSE
Cre10.g449550.t1	PRX3	1.07	0.378	FALSE
Cre02.g080900.t1	PRX4	1.24	0.0166	FALSE
Cre01.g014350.t1	PRX5	1.18	0.00593	FALSE
Cre20.g760750.t1	PRX7	0.96	0.79	FALSE
Cre09.g417150.t1	CAT1	1.32	0.0884	FALSE
Cre10.g436050.t1	FSD1	1.54	0.000182	FALSE
Cre02.g096150.t1	MSD1	1.43	1.27e-08	FALSE
Cre13.g605150.t1	MSD2	1.94	1.95e-14	FALSE
Cre09.g391450.t1	HCP1	6.69	7.34e-13	TRUE
Cre02.g129550.t1	HCP2	1.81	0.00326	FALSE
Cre02.g129500.t1	HCP3	1.86	0.0186	FALSE
Cre09.g391650.t1	HCP4	8.64	1.78e-14	TRUE
Cre12.g558450.t1	SPD1	2.09	7.97e-07	TRUE
Cre06.g251500.t1	SPS1	0.76	0.027	FALSE
Cre06.g308500.t1	Cre06.g308500	0.88	0.0667	FALSE
Cre28.g776100.t1	CMP1	0.68	3.67e-07	FALSE
Cre02.g079700.t1	PYR2	1.27	1.09e-06	FALSE
Cre11.g467550.t1	PYR	0.85	0.644	FALSE
Cre01.g048950.t1	PYR5	1.03	0.833	FALSE
Cre09.g406050.t1	PYR7	0.7	0.0081	FALSE
Cre18.g744950.t1	COP6	1.53	0.152	FALSE
Cre13.g591600.t1	CYG40	0.57	0.0636	FALSE
Cre02.g140400.t1	Cre02.g140400	0.17	0.0276	TRUE
Cre07.g348650.t1	cyg65	0.87	0.757	FALSE
Cre31.g780250.t1	PUR	0.94	0.679	FALSE
Cre08.g364800.t1	Cre08.g364800	0.61	0.158	FALSE
Cre07.g318750.t1	PUR	1.22	8.18e-06	FALSE
Cre19.g752750.t1	PUR	1.08	0.55	FALSE
Cre13.g565450.t1	Cre13.g565450	1.08	0.245	FALSE
Cre65.g793400.t1	Cre65.g793400	0.97	0.687	FALSE
Cre17.g734100.t1	ASS1	0.99	0.857	FALSE
Cre14.g614300.t1	Cre14.g614300	1.09	0.549	FALSE
Cre02.g092900.t1	GUA1	0.93	0.133	FALSE
Cre13.g592050.t1	DAL1	2.25	0.0126	TRUE
Cre03.g204550.t1	CPK3	0.83	0.126	FALSE
Cre12.g551800.t1	Cre12.g551800	0.97	0.345	FALSE
Cre12.g494850.t1	ADK3	1.07	0.223	FALSE
Cre12.g557600.t1	ADK4	0.8	0.0484	FALSE
Cre08.g377100.t1	ADK6	0.73	0.571	FALSE
Cre03.g203850.t1	ATS1	1.08	0.282	FALSE
Cre26.g773000.t1	Cre26.g773000	0.9	0.247	FALSE
Cre16.g650550.t1	FAP103	1.15	4.68e-06	FALSE
Cre10.g424100.t1	IPY1	1.05	0.185	FALSE
Cre02.g122450.t1	IPY3	0.71	2.64e-07	FALSE
Cre12.g492950.t1	RIR1	0.58	0.199	FALSE
Cre10.g433600.t1	Cre10.g433600	0.96	0.26	FALSE
Cre16.g664550.t1	SHMT1	0.6	0.000158	FALSE
Cre06.g293950.t1	SHMT2	0.65	1.74e-12	FALSE
Cre09.g411900.t1	SHMT3	1.3	0.000951	FALSE
Cre13.g566000.t1	FTL1	0.98	0.861	FALSE
Cre03.g182450.t1	Cre03.g182450	1.25	0.481	FALSE
Cre06.g294000.t1	Cre06.g294000	1.21	0.121	FALSE
Cre14.g614100.t1	GTR26	1.13	0.758	FALSE
Cre03.g190500.t1	GLH1	1.42	1.53e-08	FALSE
Cre13.g599550.t1	Cre13.g599550	1.24	0.557	FALSE
Cre01.g051000.t1	PRM	0.97	0.848	FALSE
Cre12.g558100.t1	PRM2	0.96	0.682	FALSE
Cre08.g369300.t1	PHX1	1.14	0.262	FALSE
Cre14.g626200.t1	PHX18	0.52	0.00161	FALSE
Cre16.g677950.t1	QOR1	0.17	0.135	FALSE
Cre12.g514200.t1	Cre12.g514200	1.05	0.77	FALSE
Cre22.g765600.t1	CPA3	1.28	0.0822	FALSE
Cre16.g682100.t1	TDR1	0.77	0.178	FALSE
Cre03.g154950.t1	GST6	1.19	0.642	FALSE
Cre12.g538100.t1	GST9	1.18	0.629	FALSE
Cre01.g007950.t1	CYP55B1	1.48	0.0512	FALSE
Cre08.g384000.t1	_CYP197-11	1.35	0.808	FALSE
Cre03.g166900.t1	CYP4	1.47	0.826	FALSE
Cre01.g027550.t1	GPD5	1.13	0.726	FALSE
Cre10.g436500.t1	XPP2	0.88	0.479	FALSE
Cre05.g245259.t1	Cre05.g245259	0.56	0.344	FALSE
Cre12.g515350.t1	PCC11	0.28	0.324	FALSE
Cre12.g515400.t1	PCC4	6.05	0.000539	TRUE
Cre12.g557250.t1	Cre12.g557250	2.98	0.0017	TRUE
Cre05.g245950.t1	DRP1	1.04	0.713	FALSE
Cre02.g079550.t1	DRP2	0.8	0.567	FALSE
Cre02.g130200.t1	GUK2	1.01	0.896	FALSE
Cre12.g495850.t1	HBD1	0.74	2.35e-05	FALSE
Cre03.g172000.t1	OAR1	1.12	0.433	FALSE
Cre10.g449750.t1	PKS1	0.44	0.177	FALSE
Cre16.g685400.t1	SDR26	1.62	0.00441	FALSE
Cre01.g036400.t1	SDR3	1.29	0.169	FALSE
Cre27.g775000.t1	SDR31	1.15	0.682	FALSE
Cre05.g247450.t1	CGL56	1.17	0.507	FALSE
Cre13.g573250.t1	Cre13.g573250	0.86	0.228	FALSE
Cre13.g602650.t1	Cre13.g602650	1.36	0.0984	FALSE
Cre07.g354300.t1	RDP1	1.19	0.681	FALSE
Cre07.g352550.t1	RDP3	1.19	0.649	FALSE
Cre13.g607050.t1	THT1	1.02	0.915	FALSE
Cre09.g411200.t1	TEF5	2.12	1.37e-07	TRUE
Cre04.g212150.t1	Cre04.g212150	1.28	0.749	FALSE
Cre13.g568700.t1	Cre13.g568700	0.67	0.00218	FALSE
Cre02.g077300.t1	NOP1	0.77	0.0491	FALSE
Cre13.g574200.t1	PAP2	0.97	0.658	FALSE
Cre04.g214450.t1	PNP1	0.48	0.143	FALSE
Cre05.g241300.t1	SMPF	0.98	0.818	FALSE
Cre16.g662300.t1	LSM3	1.45	0.00322	FALSE
Cre14.g611150.t1	SMB2	0.79	0.00907	FALSE
Cre10.g453450.t1	SMD2	1.04	0.866	FALSE
Cre08.g385200.t1	SME1	0.74	0.129	FALSE
Cre16.g679600.t1	USR	0.92	0.48	FALSE
Cre02.g073650.t1	PRP19	0.76	0.0233	FALSE
Cre16.g670300.t1	PRP39	1.13	0.796	FALSE
Cre14.g628100.t1	SPL7	0.78	0.0377	FALSE
Cre01.g026450.t1	SRS1	1.32	1.44e-05	FALSE
Cre09.g408200.t1	SRS3	0.75	0.00112	FALSE
Cre13.g600300.t1	SRS6	0.76	0.228	FALSE
Cre16.g674250.t1	SRS8	0.61	0.228	FALSE
Cre13.g566700.t1	U	0.93	0.424	FALSE
Cre06.g250950.t1	UAF4	3.1	0.34	FALSE
Cre07.g352251.t1	Cre07.g352251	0.18	0.0186	TRUE
Cre06.g291150.t1	HEL30	0.25	0.282	FALSE
Cre10.g420900.t1	HEL44	1.42	0.749	FALSE
Cre10.g427700.t1	HEL47	0.84	0.0447	FALSE
Cre17.g727700.t1	HEL62	0.83	0.499	FALSE
Cre07.g329150.t1	_HES1:5frag	1.31	0.844	FALSE
Cre01.g021600.t1	HES5	1.49	0.0123	FALSE
Cre14.g631900.t1	Cre14.g631900	0.82	0.0229	FALSE
Cre01.g070000.t1	DCL2	1.44	0.59	FALSE
Cre03.g208100.t1	RNB1	0.82	0.837	FALSE
Cre06.g280050.t1	XRN1	1.07	0.759	FALSE
Cre07.g322150.t1	Cre07.g322150	0.62	0.304	FALSE
Cre09.g409350.t1	RLI1	0.83	0.000237	FALSE
Cre12.g542800.t1	RPC2	0.79	0.219	FALSE
Cre-1.g2716998.t1	rpoC2	0.74	0.695	FALSE
Cre01.g050500.t1	PPR1	0.47	0.259	FALSE
Cre03.g174500.t1	HDZ1	3.61	0.417	FALSE
Cre02.g103450.t1	MYB6	1.81	0.446	FALSE
Cre01.g033900.t1	Cre01.g033900	1.35	0.493	FALSE
Cre10.g433350.t1	Cre10.g433350	0.37	0.281	FALSE
Cre06.g290000.t1	GIP1	0.8	0.732	FALSE
Cre03.g173350.t1	ANK22	1.35	1.65e-06	FALSE
Cre17.g702200.t1	ANK29	1.61	0.000322	FALSE
Cre07.g331050.t1	Cre07.g331050	0.71	0.718	FALSE
Cre17.g711100.t1	Cre17.g711100	0.57	0.265	FALSE
Cre10.g430950.t1	SRH18	2.63	0.239	FALSE
Cre11.g479300.t1	SRH20	2.64	0.336	FALSE
Cre12.g508150.t1	SRH21	0.64	0.276	FALSE
Cre65.g793250.t1	SRH28	0.24	0.114	FALSE
Cre03.g158550.t1	SRH4	1.96	0.549	FALSE
Cre03.g199350.t1	SRH9	1.09	0.894	FALSE
Cre10.g461750.t1	DMC5	0.56	0.215	FALSE
Cre06.g261450.t1	HMG3	0.84	6.04e-07	FALSE
Cre16.g672300.t1	HMG8	0.95	0.739	FALSE
Cre02.g121850.t1	HDA12	1.19	0.153	FALSE
Cre12.g485950.t1	Cre12.g485950	2.79	0.00972	TRUE
Cre12.g514250.t1	HLM17	1.98	0.233	FALSE
Cre03.g149400.t1	RWP11	1.37	0.677	FALSE
Cre03.g184600.t1	RWP7	0.55	0.679	FALSE
Cre06.g296950.t1	Cre06.g296950	0.81	0.711	FALSE
Cre01.g018200.t1	HGC	2.4	0.0407	TRUE
Cre08.g377200.t1	SRH16	0.49	0.269	FALSE
Cre09.g386350.t1	Cre09.g386350	0.73	0.675	FALSE
Cre09.g409500.t1	Cre09.g409500	1.32	0.0857	FALSE
Cre16.g651550.t1	MTT1	1.24	0.0311	FALSE
Cre12.g525200.t1	NOP56	0.9	0.0618	FALSE
Cre10.g441400.t1	NOP58	0.85	0.00607	FALSE
Cre12.g515850.t1	PCN1	0.57	0.0272	FALSE
Cre07.g339250.t1	DCP1	2.41	0.0149	TRUE
Cre03.g180800.t1	HDA16	0.74	0.361	FALSE
Cre18.g746200.t1	Cre18.g746200	0.31	0.195	FALSE
Cre12.g503800.t1	RMT5	0.71	0.296	FALSE
Cre02.g129300.t1	Cre02.g129300	0.99	0.698	FALSE
Cre11.g477850.t1	TXC1	0.92	0.197	FALSE
Cre13.g577950.t1	VPS60	2.25	0.345	FALSE
Cre07.g338700.t1	Cre07.g338700	2.29	0.225	FALSE
Cre07.g338800.t1	Cre07.g338800	2.29	0.225	FALSE
Cre07.g338900.t1	Cre07.g338900	2.29	0.17	FALSE
Cre08.g358800.t1	Cre08.g358800	1.38	0.819	FALSE
Cre10.g419000.t1	Cre10.g419000	7.93	5.14e-08	TRUE
Cre06.g300100.t1	PIA1	0.71	0.269	FALSE
Cre12.g540350.t1	RCD2	0.99	0.836	FALSE
Cre03.g149250.t1	ICL3	1.19	0.688	FALSE
Cre10.g435800.t1	NED15	1.08	0.114	FALSE
Cre10.g440050.t1	NED16	0.89	0.279	FALSE
Cre06.g250800.t1	CRB1	1.33	0.287	FALSE
Cre03.g177200.t1	CRB3	0.93	0.379	FALSE
Cre01.g054000.t1	Cre01.g054000	2.32	0.271	FALSE
Cre02.g079400.t1	Cre02.g079400	0.71	0.161	FALSE
Cre02.g104650.t1	Cre02.g104650	0.57	0.593	FALSE
Cre03.g169150.t1	Cre03.g169150	3.54	0.232	FALSE
Cre06.g275100.t1	Cre06.g275100	0.75	0.04	FALSE
Cre07.g330300.t1	Cre07.g330300	0.87	0.649	FALSE
Cre08.g364700.t1	Cre08.g364700	0.91	0.734	FALSE
Cre09.g392350.t1	Cre09.g392350	0.64	0	FALSE
Cre10.g428200.t1	Cre10.g428200	0.9	0.279	FALSE
Cre12.g560300.t1	Cre12.g560300	1	0.989	FALSE
Cre13.g567850.t1	Cre13.g567850	0.86	0.224	FALSE
Cre16.g672750.t1	Cre16.g672750	0.99	0.879	FALSE
Cre17.g725300.t1	Cre17.g725300	0.93	0.696	FALSE
Cre17.g729150.t1	Cre17.g729150	1.1	0.666	FALSE
Cre10.g462250.t1	REF1	0.98	0.747	FALSE
Cre14.g617100.t1	SRS7	4.56	3.21e-05	TRUE
Cre03.g172950.t1	CBF5	1.01	0.929	FALSE
Cre03.g150350.t1	Cre03.g150350	4.06	0.195	FALSE
Cre03.g208000.t1	Cre03.g208000	1.51	0.00298	FALSE
Cre04.g218900.t1	Cre04.g218900	0.82	0.708	FALSE
Cre13.g606750.t1	Cre13.g606750	1.55	0.646	FALSE
Cre07.g338000.t1	MCM2	0.46	0.231	FALSE
Cre06.g295700.t1	MCM3	1.36	0.71	FALSE
Cre06.g293000.t1	PRI2	1.02	0.945	FALSE
Cre12.g521200.t1	RFC1	0.93	0.895	FALSE
Cre03.g178600.t1	TOP1	0.34	0.022	TRUE
Cre12.g555050.t1	CJE1	2.64	0.0915	FALSE
Cre10.g432500.t1	CND	1.05	0.915	FALSE
Cre03.g171650.t1	HEL16	0.59	0.683	FALSE
Cre03.g187700.t1	HEL19	4.27	0.122	FALSE
Cre10.g446650.t1	HEL46	3.22	0.372	FALSE
Cre13.g563550.t1	IPP8	4.02	0.0908	FALSE
Cre01.g015250.t1	POL4	0.52	0.0921	FALSE
Cre09.g387400.t1	POL6	1.79	0.484	FALSE
Cre07.g342450.t1	SEN3	1.04	0.954	FALSE
Cre04.g221650.t1	TOP9	1.13	0.866	FALSE
Cre02.g073550.t1	nua	1.07	0.581	FALSE
Cre09.g416350.t1	nua?/_NFA?	1.16	0.00281	FALSE
Cre24.g770550.t1	HAV2	6.33	0.106	FALSE
Cre12.g543700.t1	tnp32	1.26	0.476	FALSE
Cre06.g265250.t1	Cre06.g265250	0.72	4.73e-06	FALSE
Cre06.g265500.t1	Cre06.g265500	0.72	4.73e-06	FALSE
Cre06.g266750.t1	Cre06.g266750	0.63	3.37e-13	FALSE
Cre06.g274050.t1	Cre06.g274050	0.94	0.747	FALSE
Cre06.g274250.t1	Cre06.g274250	0.63	3.37e-13	FALSE
Cre06.g276600.t1	Cre06.g276600	0.72	4.73e-06	FALSE
Cre06.g276650.t1	Cre06.g276650	0.58	8.17e-13	FALSE
Cre12.g506200.t1	Cre12.g506200	0.76	0.00579	FALSE
Cre17.g709100.t1	Cre17.g709100	0.58	8.17e-13	FALSE
Cre17.g710500.t1	Cre17.g710500	0.58	8.17e-13	FALSE
Cre17.g710550.t1	Cre17.g710550	0.72	4.73e-06	FALSE
Cre17.g711800.t1	Cre17.g711800	0.58	8.17e-13	FALSE
Cre17.g713450.t1	Cre17.g713450	0.71	8.65e-09	FALSE
Cre17.g714600.t1	Cre17.g714600	0.58	8.17e-13	FALSE
Cre23.g766900.t1	HBV1	0.77	0.017	FALSE
Cre06.g268000.t1	HFO10	0.58	8.17e-13	FALSE
Cre06.g266600.t1	HFO11	0.58	8.17e-13	FALSE
Cre06.g265450.t1	HFO12	0.58	8.17e-13	FALSE
Cre06.g265050.t1	HFO13	0.58	8.17e-13	FALSE
Cre06.g264600.t1	HFO14	0.58	8.17e-13	FALSE
Cre12.g504600.t1	HFO15	0.58	8.17e-13	FALSE
Cre12.g504850.t1	HFO16	0.58	8.17e-13	FALSE
Cre12.g505450.t1	HFO17	0.58	8.17e-13	FALSE
Cre12.g506350.t1	HFO18	0.58	8.17e-13	FALSE
Cre17.g708650.t1	HFO20	0.58	8.17e-13	FALSE
Cre17.g713500.t1	HFO22	0.58	8.17e-13	FALSE
Cre06.g276800.t1	HFO24	0.58	8.17e-13	FALSE
Cre06.g274300.t1	HFO29	0.58	8.17e-13	FALSE
Cre17.g714000.t1	HFO3	0.58	8.17e-13	FALSE
Cre06.g274150.t1	HFO31	0.58	8.17e-13	FALSE
Cre06.g265200.t1	HFO34	0.58	8.17e-13	FALSE
Cre12.g506450.t1	HFO35	0.58	8.17e-13	FALSE
Cre17.g708200.t1	HFO36	0.58	8.17e-13	FALSE
Cre16.g650250.t1	HFO39	0.58	8.17e-13	FALSE
Cre06.g275700.t1	HFO4	0.58	8.17e-13	FALSE
Cre16.g649950.t1	HFO40	0.58	8.17e-13	FALSE
Cre06.g274900.t1	HFO6	0.58	8.17e-13	FALSE
Cre06.g273950.t1	HFO7	0.58	8.17e-13	FALSE
Cre06.g271300.t1	HFO8	0.58	8.17e-13	FALSE
Cre06.g268400.t1	HFO9	0.58	8.17e-13	FALSE
Cre13.g567450.t1	HON1	0.73	0.00413	FALSE
Cre06.g275900.t1	HON2	0.66	0.00321	FALSE
Cre17.g714500.t1	HTA1	0.66	0.261	FALSE
Cre06.g268050.t1	HTA10	0.66	0.261	FALSE
Cre06.g265350.t1	HTA11	0.66	0.261	FALSE
Cre06.g264950.t1	HTA12	0.66	0.261	FALSE
Cre06.g264750.t1	HTA14	0.66	0.261	FALSE
Cre12.g504500.t1	HTA15	0.66	0.261	FALSE
Cre12.g505550.t1	HTA17	0.66	0.261	FALSE
Cre12.g506250.t1	HTA18	0.66	0.261	FALSE
Cre17.g710400.t1	HTA19	0.66	0.261	FALSE
Cre13.g570100.t1	HTA2	0.66	0.261	FALSE
Cre17.g708550.t1	HTA20	0.66	0.261	FALSE
Cre17.g714100.t1	HTA21	0.66	0.261	FALSE
Cre17.g713400.t1	HTA22	0.66	0.261	FALSE
Cre06.g276500.t1	HTA23	0.66	0.261	FALSE
Cre06.g276950.t1	HTA24	0.66	0.261	FALSE
Cre06.g274800.t1	HTA26	0.66	0.261	FALSE
Cre17.g709200.t1	HTA3	0.66	0.261	FALSE
Cre13.g590800.t1	HTA37	0.66	0.261	FALSE
Cre13.g591150.t1	HTA38	0.66	0.261	FALSE
Cre17.g711700.t1	HTA5	0.66	0.261	FALSE
Cre06.g275850.t1	HTA6	0.66	0.261	FALSE
Cre06.g268300.t1	HTA9	0.66	0.261	FALSE
Cre17.g714550.t1	HTB1	0.7	1.25e-07	FALSE
Cre06.g268100.t1	HTB10	0.63	3.37e-13	FALSE
Cre06.g265400.t1	HTB11	0.63	3.37e-13	FALSE
Cre06.g264900.t1	HTB13	0.63	3.37e-13	FALSE
Cre06.g264800.t1	HTB14	0.63	3.37e-13	FALSE
Cre12.g504550.t1	HTB15	0.76	0.00579	FALSE
Cre12.g504700.t1	HTB16	0.76	0.00579	FALSE
Cre12.g505600.t1	HTB17	0.76	0.00579	FALSE
Cre13.g570050.t1	HTB2	0.72	0.00199	FALSE
Cre17.g708600.t1	HTB20	0.77	0.0323	FALSE
Cre17.g714050.t1	HTB21	0.71	8.65e-09	FALSE
Cre06.g276550.t1	HTB23	0.67	0.00246	FALSE
Cre06.g276900.t1	HTB24	0.67	0.00246	FALSE
Cre17.g709150.t1	HTB3	0.63	3.37e-13	FALSE
Cre13.g590750.t1	HTB37	1.02	0.864	FALSE
Cre13.g591200.t1	HTB38	1.02	0.864	FALSE
Cre06.g275800.t1	HTB4	0.63	3.37e-13	FALSE
Cre17.g710450.t1	HTB44	0.63	3.37e-13	FALSE
Cre17.g711750.t1	HTB5	0.7	3.78e-07	FALSE
Cre06.g274750.t1	HTB6	0.63	3.37e-13	FALSE
Cre06.g273850.t1	HTB7	0.63	3.37e-13	FALSE
Cre06.g268250.t1	HTB9	0.63	3.37e-13	FALSE
Cre17.g714650.t1	HTR1	0.72	4.73e-06	FALSE
Cre06.g267950.t1	HTR10	0.72	4.73e-06	FALSE
Cre06.g266650.t1	HTR11	0.72	4.73e-06	FALSE
Cre06.g265000.t1	HTR13	0.72	4.73e-06	FALSE
Cre12.g504650.t1	HTR15	0.72	4.73e-06	FALSE
Cre12.g504800.t1	HTR16	0.72	4.73e-06	FALSE
Cre12.g505500.t1	HTR17	0.72	4.73e-06	FALSE
Cre12.g506300.t1	HTR18	0.72	4.73e-06	FALSE
Cre13.g569950.t1	HTR2	0.72	4.73e-06	FALSE
Cre17.g708700.t1	HTR20	0.72	4.73e-06	FALSE
Cre17.g713950.t1	HTR21	0.72	4.73e-06	FALSE
Cre17.g713550.t1	HTR22	0.72	4.73e-06	FALSE
Cre06.g276850.t1	HTR24	0.72	4.73e-06	FALSE
Cre06.g264650.t1	HTR27	0.72	4.73e-06	FALSE
Cre06.g274350.t1	HTR29	0.72	4.73e-06	FALSE
Cre17.g709050.t1	HTR3	0.72	4.73e-06	FALSE
Cre12.g506500.t1	HTR35	0.72	4.73e-06	FALSE
Cre17.g708150.t1	HTR36	0.72	4.73e-06	FALSE
Cre16.g650300.t1	HTR39	0.72	4.73e-06	FALSE
Cre06.g275750.t1	HTR4	0.72	4.73e-06	FALSE
Cre16.g649900.t1	HTR40	0.72	4.73e-06	FALSE
Cre16.g648500.t1	HTR41	0.72	4.73e-06	FALSE
Cre17.g711850.t1	HTR5	0.72	4.73e-06	FALSE
Cre06.g274850.t1	HTR6	0.72	4.73e-06	FALSE
Cre06.g274000.t1	HTR7	0.72	4.73e-06	FALSE
Cre06.g271250.t1	HTR8	0.72	4.73e-06	FALSE
Cre06.g268350.t1	HTR9	0.72	4.73e-06	FALSE
Cre02.g104800.t1	HTV1	0.67	0.00121	FALSE
Cre03.g197050.t1	HTV2	0.96	0.84	FALSE
Cre16.g661450.t1	HTV3	0.82	0.0307	FALSE
Cre13.g567700.t1	HAV	0.56	0.0104	FALSE
Cre06.g266700.t1	HTA39	0.66	0.261	FALSE
Cre06.g271350.t1	HTA40	0.66	0.261	FALSE
Cre06.g273900.t1	HTA41	0.66	0.261	FALSE
Cre06.g274200.t1	HTA42	0.66	0.261	FALSE
Cre12.g504750.t1	HTA43	0.66	0.261	FALSE
Cre02.g123500.t1	Cre02.g123500	0.62	9.1e-05	FALSE
Cre02.g123550.t1	Cre02.g123550	0.37	2.09e-09	TRUE
Cre12.g513500.t1	XAB2	0.95	0.863	FALSE
Cre20.g759050.t1	NAT38	0.08	0.0627	FALSE
Cre08.g366400.t1	RAD23	1.35	0.00196	FALSE
Cre10.g429050.t1	XPG2	0.61	0.462	FALSE
Cre01.g024350.t1	Cre01.g024350	0.88	0.0733	FALSE
Cre09.g415800.t1	Cre09.g415800	1.07	0.761	FALSE
Cre10.g439850.t1	Cre10.g439850	1.03	0.514	FALSE
Cre01.g032300.t1	GBP1	0.94	0.465	FALSE
Cre09.g414050.t1	RVB1	1.2	0.0434	FALSE
Cre10.g442700.t1	RVB2	1.11	0.277	FALSE
Cre01.g059850.t1	TSY2	1.07	0.555	FALSE
Cre06.g273300.t1	TST1	1.19	0.097	FALSE
Cre10.g421600.t1	TST2	1.1	0.384	FALSE
Cre06.g293550.t1	TSL2	0.29	0.0384	TRUE
Cre06.g293600.t1	TSL3	1.06	0.492	FALSE
Cre16.g651650.t1	TSI2	1.52	0.0162	FALSE
Cre16.g651750.t1	TSI3	0.86	0.177	FALSE
Cre03.g160500.t1	TSK1	1.06	0.734	FALSE
Cre06.g296250.t1	TSK2	0.62	0.535	FALSE
Cre02.g143200.t1	TSA1	0.86	0.0437	FALSE
Cre07.g350500.t1	TSV1	1.2	0.218	FALSE
Cre12.g537100.t1	TSV2	0.66	0.415	FALSE
Cre01.g060450.t1	Cre01.g060450	0.93	0.205	FALSE
Cre02.g087950.t1	TSM1	0.63	0.0031	FALSE
Cre03.g189400.t1	TSS2	1.09	0.177	FALSE
Cre06.g279150.t1	TSD2	1.5	2.93e-08	FALSE
Cre05.g233800.t1	TSG1	1.09	0.504	FALSE
Cre10.g429100.t1	TSP2	1.26	8.67e-05	FALSE
Cre44.g788000.t1	TSE1	1.27	0.295	FALSE
Cre14.g614900.t1	TSQ1	0.66	0.14	FALSE
Cre01.g056050.t1	TSR1	1.34	0.013	FALSE
Cre13.g603900.t1	TSF1	1.06	0.796	FALSE
Cre02.g079600.t1	TSF2	1.81	0.000886	FALSE
Cre02.g142250.t1	TSH1	2.54	0.155	FALSE
Cre03.g193800.t1	TSN1	1.18	0.0237	FALSE
Cre11.g473250.t1	pus16	1.55	0.488	FALSE
Cre01.g015600.t1	Cre01.g015600	2.88	0.0461	TRUE
Cre28.g777200.t1	RPS29	0.83	0.164	FALSE
Cre09.g394750.t1	PRPS1	0.88	0.26	FALSE
Cre-1.g2717006.t1	rps2	0.95	0.637	FALSE
Cre-1.g2717005.t1	rps2	1.34	0.315	FALSE
Cre-1.g2716997.t1	rps3	1.11	0.156	FALSE
Cre-1.g2716955.t1	rps4	0.96	0.453	FALSE
Cre16.g659950.t1	PRPS5	0.87	0.1	FALSE
Cre-1.g2716973.t1	rps7	1.68	0.0216	FALSE
Cre-1.g2717010.t1	rps9	0.83	0.126	FALSE
Cre-1.g2717001.t1	rps11	0.97	0.85	FALSE
Cre-1.g2717036.t1	rps12	1.88	0.0505	FALSE
Cre12.g493950.t1	PRPS13	1.08	0.416	FALSE
Cre06.g264300.t1	PRPS15	1.04	0.632	FALSE
Cre12.g494450.t1	PRPS16	0.88	0.1	FALSE
Cre02.g118950.t1	PRPS17	0.71	0.0729	FALSE
Cre05.g237450.t1	PSRP	1.26	0.0162	FALSE
Cre-1.g2717007.t1	rps18	0.85	0.0197	FALSE
Cre-1.g2717056.t1	rps19	0.93	0.467	FALSE
Cre12.g494750.t1	PRPS20	0.92	0.167	FALSE
Cre02.g083950.t1	PSRP3	0.92	0.0426	FALSE
