gene_id	gene_name	candidate_gene	fold_difference
Cre01.g009800	FAP289	TRUE	5.292427
Cre09.g388850	ACA1	TRUE	5.291157
Cre01.g029950	Cre01.g029950	TRUE	5.290109
Cre17.g709300	Cre17.g709300	TRUE	5.229946
Cre12.g528450	ASO1	TRUE	5.218197
Cre06.g293950	SHMT2	TRUE	5.152119
Cre13.g568600	Cre13.g568600	TRUE	5.13846
Cre12.g501750	Cre12.g501750	TRUE	5.087398
Cre12.g513400	Cre12.g513400	TRUE	5.072763
Cre07.g320700	CYG11	TRUE	5.042062
Cre07.g340450	Cre07.g340450	TRUE	5.041919
Cre16.g675750	Cre16.g675750	TRUE	5.034692
Cre06.g298911	Cre06.g298911	TRUE	5.014579
Cre03.g150800	Cre03.g150800	TRUE	5.005667
Cre16.g690350	Cre16.g690350	TRUE	4.988249
g6068	g6068	TRUE	4.975394
g17785	g17785	TRUE	4.947576
Cre09.g401850	Cre09.g401850	TRUE	4.945809
Cre06.g264050	Cre06.g264050	TRUE	4.941128
Cre07.g325300	Cre07.g325300	TRUE	4.898338
Cre02.g079450	Cre02.g079450	TRUE	4.880883
Cre01.g036950	Cre01.g036950	TRUE	4.841938
Cre10.g436800	Cre10.g436800	TRUE	4.821285
Cre13.g585500	Cre13.g585500	TRUE	4.808509
Cre06.g286850	Cre06.g286850	TRUE	4.793789
Cre12.g552300	CTL3	TRUE	4.768587
Cre07.g354300	RDP1	TRUE	4.760236
g14415	g14415	TRUE	4.743415
Cre10.g450600	Cre10.g450600	TRUE	4.73481
Cre01.g004157	Cre01.g004157	TRUE	4.728623
Cre10.g459650	Cre10.g459650	TRUE	4.679204
Cre02.g107250	Cre02.g107250	TRUE	4.666294
Cre13.g589800	Cre13.g589800	TRUE	4.602806
Cre01.g049950	Cre01.g049950	TRUE	4.592845
g14592	g14592	TRUE	4.551309
g7248	g7248	TRUE	4.55096
Cre16.g663850	SSS5	TRUE	4.532961
Cre04.g217950	Cre04.g217950	TRUE	4.502945
Cre14.g627350	Cre14.g627350	TRUE	4.492444
g16306	g16306	TRUE	4.492444
Cre03.g192450	Cre03.g192450	TRUE	4.48987
Cre12.g537000	Cre12.g537000	TRUE	4.489722
g18056	ADH1	TRUE	4.489657
g11640	VSP1	TRUE	4.463618
g10028	g10028	TRUE	4.454087
Cre15.g636100	Cre15.g636100	TRUE	4.451184
Cre02.g111016	Cre02.g111016	TRUE	4.427964
Cre06.g264000	Cre06.g264000	TRUE	4.414199
g786	g786	TRUE	4.410528
Cre07.g352550	RDP3	TRUE	4.401606
Cre08.g379550	Cre08.g379550	TRUE	4.385408
g18294	g18294	TRUE	4.338426
Cre03.g163150	Cre03.g163150	TRUE	4.327865
Cre14.g612250	Cre14.g612250	TRUE	4.313036
Cre17.g717900	PHC1	TRUE	4.308486
Cre07.g332250	Cre07.g332250	TRUE	4.294125
Cre06.g292050	Cre06.g292050	TRUE	4.262934
Cre12.g505350	ACA2	TRUE	4.255334
Cre03.g174450	Cre03.g174450	TRUE	4.249608
Cre12.g514000	LAG1	TRUE	4.247457
Cre09.g391850	Cre09.g391850	TRUE	4.242727
Cre03.g160750	MTP3	TRUE	4.234525
Cre01.g000300	Cre01.g000300	TRUE	4.220507
Cre16.g656800	Cre16.g656800	TRUE	4.205367
Cre02.g144734	Cre02.g144734	TRUE	4.205095
Cre16.g681100	Cre16.g681100	TRUE	4.205095
Cre12.g489400	PTB7	TRUE	4.186299
Cre03.g194750	Cre03.g194750	TRUE	4.137245
Cre16.g689300	Cre16.g689300	TRUE	4.109043
Cre12.g491050	RIR2	TRUE	4.106278
Cre12.g508550	PAN2	TRUE	4.105565
Cre17.g735600	Cre17.g735600	TRUE	4.103423
Cre03.g160953	Cre03.g160953	TRUE	4.101705
Cre09.g411500	Cre09.g411500	TRUE	4.063946
Cre09.g413500	Cre09.g413500	TRUE	4.06293
Cre03.g199500	FAP129	TRUE	4.0529
Cre06.g306750	FAP290	TRUE	4.042222
Cre17.g727750	Cre17.g727750	TRUE	4.024657
Cre06.g302050	Cre06.g302050	TRUE	4.021832
Cre14.g616450	CYG46	TRUE	4.021832
Cre09.g393250	Cre09.g393250	TRUE	4.008701
g2906	PYK4	TRUE	4.006204
Cre06.g298800	Cre06.g298800	TRUE	3.99781
Cre07.g313100	Cre07.g313100	TRUE	3.981183
Cre09.g396600	HYDA2	TRUE	3.972564
g3370	g3370	TRUE	3.960953
g5063	g5063	TRUE	3.956498
Cre03.g203600	GDP6	TRUE	3.91209
Cre09.g387350	CYG30	TRUE	3.898752
Cre02.g112700	Cre02.g112700	TRUE	3.894925
Cre17.g702600	PTK5	TRUE	3.894925
Cre01.g002050	Cre01.g002050	TRUE	3.893026
g2850	g2850	TRUE	3.887578
Cre14.g632650	Cre14.g632650	TRUE	3.886589
Cre16.g667450	TLP2	TRUE	3.885517
Cre07.g348550	Cre07.g348550	TRUE	3.883503
g7580	g7580	TRUE	3.877016
Cre01.g015500	Cre01.g015500	TRUE	3.866964
Cre17.g701000	Cre17.g701000	TRUE	3.865806
Cre16.g655750	Cre16.g655750	TRUE	3.86536
Cre10.g421300	Cre10.g421300	TRUE	3.86292
Cre09.g398900	Cre09.g398900	TRUE	3.850627
Cre04.g224700	Cre04.g224700	TRUE	3.850091
Cre09.g410100	Cre09.g410100	TRUE	3.836384
Cre10.g449450	Cre10.g449450	TRUE	3.804909
g11651	g11651	TRUE	3.801855
Cre07.g330300	Cre07.g330300	TRUE	3.792033
Cre07.g327750	TRP3	TRUE	3.786947
Cre16.g681750	Cre16.g681750	TRUE	3.778162
Cre06.g286200	Cre06.g286200	TRUE	3.749064
g2899	GPM1a	TRUE	3.747457
Cre12.g553650	Cre12.g553650	TRUE	3.736003
Cre03.g167300	Cre03.g167300	TRUE	3.726875
Cre06.g291550	Cre06.g291550	TRUE	3.726594
Cre06.g272050	PGM1	TRUE	3.722574
g12666	g12666	TRUE	3.706955
Cre12.g543400	FDH1	TRUE	3.705098
Cre06.g296050	FMO6	TRUE	3.704257
Cre12.g541450	Cre12.g541450	TRUE	3.692368
g17581	g17581	TRUE	3.692368
g11530	g11530	TRUE	3.662274
g16674	g16674	TRUE	3.657874
Cre14.g613950	Cre14.g613950	TRUE	3.656779
Cre03.g207900	CYCA1	TRUE	3.632933
Cre17.g737800	Cre17.g737800	TRUE	3.628016
g5375	g5375	TRUE	3.613307
Cre16.g656200	Cre16.g656200	TRUE	3.612168
Cre16.g654150	FAP63	TRUE	3.611187
Cre04.g214750	Cre04.g214750	TRUE	3.606122
Cre09.g398050	Cre09.g398050	TRUE	3.593265
g5388	g5388	TRUE	3.592903
g8386	g8386	TRUE	3.589727
Cre16.g683200	Cre16.g683200	TRUE	3.580497
Cre06.g308050	Cre06.g308050	TRUE	3.575669
Cre07.g344550	Cre07.g344550	TRUE	3.563735
