transcript_id,num_detected,num_sampled,proportion,source,annotation_version,gene_id,gene_symbol,pathway_id,transcript_id_v5.3.1
Cre01.g002150.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002150,,,Cre01.g002150.t1.2
Cre01.g002200.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002200,,,Cre01.g002200.t1.2
Cre01.g002201.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002201,,,Cre01.g002201.t1.2
Cre01.g002203.t1.1,1,2,0.125,"['Bajhaiya_2016', 'Kwak_2017']",v5.5,Cre01.g002203,,,g51.t1
Cre01.g002227.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002227,,,Cre01.g002227.t1.2
Cre01.g002234.t2.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g002234,,,Cre01.g002236.t1.2
Cre01.g002250.t1.2,1,2,0.125,"['Bajhaiya_2016', 'Gargouri_2015']",v5.5,Cre01.g002250,NAT4,,Cre01.g002250.t1.2
Cre01.g002300.t1.2,2,3,0.25,"['Hemme_2014', 'Bajhaiya_2016', 'Kwak_2017']",v5.5,Cre01.g002300,CYN19-2,,Cre01.g002300.t1.2
Cre01.g002350.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002350,,,Cre01.g002350.t1.3
Cre01.g002400.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002400,,['Creinhardtii LIPAS-PWY'],Cre01.g002400.t1.3
Cre01.g002451.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002451,,,g59.t1
Cre01.g002500.t1.2,1,2,0.125,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g002500,,,Cre01.g002500.t1.2
Cre01.g002550.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002550,,,Cre01.g002550.t1.3
Cre01.g002600.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002600,,,Cre01.g002600.t1.2
Cre01.g002650.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002650,,,Cre01.g002650.t1.2
Cre01.g002700.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002700,,,Cre01.g002700.t1.2
Cre01.g002750.t2.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002750,,,Cre01.g002750.t1.2
Cre01.g002787.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002787,,,Cre01.g002800.t1.3
Cre01.g002824.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002824,,,g67.t1
Cre01.g002861.t1.1,1,2,0.125,"['Bajhaiya_2016', 'Blaby_2013']",v5.5,Cre01.g002861,SRR24,,g68.t1
Cre01.g002900.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002900,,,Cre01.g002900.t1.2
Cre01.g002950.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002950,,,Cre01.g002950.t1.3
Cre01.g003000.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g003000,,,Cre01.g003000.t1.3
Cre01.g003050.t1.2,0,2,0.0,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g003050,SEC8,,Cre01.g003050.t1.2
Cre01.g003100.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g003100,,,Cre01.g003100.t1.3
Cre01.g003150.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g003150,,,Cre01.g003150.t1.2
Cre01.g003200.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g003200,,,Cre01.g003200.t1.2
